family,p,approxlik,topprior,loss,lossWGD,dup,dupWGD
0,0,-7.149917e+04,-2.996229e+01, 7,2,1,0
0,0.1,-7.149440e+04,-2.555176e+01, 7,2,1,0
0,0.2,-7.149314e+04,-2.427880e+01, 7,2,1,0
0,0.3,-7.149256e+04,-2.350709e+01, 7,2,1,0
0,0.4,-7.149194e+04,-2.295161e+01, 7,2,1,0
0,0.5,-7.149163e+04,-2.251733e+01, 7,2,1,0
0,0.6,-7.149112e+04,-2.216072e+01, 7,2,1,0
0,0.7,-7.149065e+04,-2.185817e+01, 7,2,1,0
0,0.8,-7.149054e+04,-2.159541e+01, 7,2,1,0
0,0.9,-7.149050e+04,-2.136319e+01, 7,2,1,0
0,1,-7.149048e+04,-2.115515e+01, 5,0,1,0
3,0,-3.426288e+04,-4.027540e+01, 9,2,2,0
3,0.1,-3.425847e+04,-3.586487e+01, 9,2,2,0
3,0.2,-3.417838e+04,-1.622620e+01, 4,1,1,0
3,0.3,-3.425643e+04,-3.382021e+01, 9,2,2,0
3,0.4,-3.425546e+04,-3.326473e+01, 9,2,2,0
3,0.5,-3.425524e+04,-3.283045e+01, 9,2,2,0
3,0.6,-3.425509e+04,-3.247384e+01, 9,2,2,0
3,0.7,-3.425450e+04,-3.217128e+01, 9,2,2,0
3,0.8,-3.425452e+04,-3.190853e+01, 9,2,2,0
3,0.9,-3.417692e+04,-1.476839e+01, 4,1,1,0
3,1,-3.425442e+04,-3.146826e+01, 7,0,2,0
4,0,-6.647475e+03,-1.707947e+01, 0,0,0,0
4,0.1,-6.645270e+03,-1.487421e+01, 0,0,0,0
4,0.2,-6.644633e+03,-1.423773e+01, 0,0,0,0
4,0.3,-6.644248e+03,-1.385187e+01, 0,0,0,0
4,0.4,-6.643970e+03,-1.357413e+01, 0,0,0,0
4,0.5,-6.643753e+03,-1.335699e+01, 0,0,0,0
4,0.6,-6.643574e+03,-1.317869e+01, 0,0,0,0
4,0.7,-6.643423e+03,-1.302741e+01, 0,0,0,0
4,0.8,-6.643292e+03,-1.289603e+01, 0,0,0,0
4,0.9,-6.643176e+03,-1.277992e+01, 0,0,0,0
4,1,-6.643071e+03,-1.267590e+01, 0,0,0,0
5,0,-2.240297e+04,-4.923114e+01, 13,2,2,0
5,0.1,-2.239851e+04,-4.482062e+01, 13,2,2,0
5,0.2,-2.239708e+04,-4.354766e+01, 13,2,2,0
5,0.3,-2.232228e+04,-3.668604e+01, 11,2,2,0
5,0.4,-2.232223e+04,-3.613056e+01, 11,2,2,0
5,0.5,-2.232180e+04,-3.569628e+01, 11,2,2,0
5,0.6,-2.231047e+04,-2.110949e+01, 7,2,1,0
5,0.7,-2.232100e+04,-3.503712e+01, 11,2,2,0
5,0.8,-2.231017e+04,-2.054418e+01, 7,2,1,0
5,0.9,-2.230971e+04,-2.031196e+01, 7,2,1,0
5,1,-2.232029e+04,-3.433410e+01, 9,0,2,0
7,0,-1.575688e+04,-6.203651e+00, 1,0,0,0
7,0.1,-1.575688e+04,-6.203465e+00, 1,0,0,0
7,0.2,-1.575688e+04,-6.203278e+00, 1,0,0,0
7,0.3,-1.575688e+04,-6.203092e+00, 1,0,0,0
7,0.4,-1.575688e+04,-6.202906e+00, 1,0,0,0
7,0.5,-1.575688e+04,-6.202720e+00, 1,0,0,0
7,0.6,-1.575688e+04,-6.202533e+00, 1,0,0,0
7,0.7,-1.575687e+04,-6.202347e+00, 1,0,0,0
7,0.8,-1.575687e+04,-6.202161e+00, 1,0,0,0
7,0.9,-1.575687e+04,-6.201975e+00, 1,0,0,0
7,1,-1.575687e+04,-6.201789e+00, 1,0,0,0
8,0,-1.415669e+04,-4.127844e+01, 10,2,2,0
8,0.1,-1.415239e+04,-3.686791e+01, 10,2,2,0
8,0.2,-1.415112e+04,-3.559495e+01, 10,2,2,0
8,0.3,-1.415024e+04,-3.482325e+01, 10,2,2,0
8,0.4,-1.414968e+04,-3.426777e+01, 10,2,2,0
8,0.5,-1.414925e+04,-3.383349e+01, 10,2,2,0
8,0.6,-1.414889e+04,-3.347688e+01, 10,2,2,0
8,0.7,-1.414859e+04,-3.317432e+01, 10,2,2,0
8,0.8,-1.414833e+04,-3.291157e+01, 10,2,2,0
8,0.9,-1.414809e+04,-3.267935e+01, 10,2,2,0
8,1,-1.414805e+04,-3.247130e+01, 8,0,2,0
10,0,-4.976825e+04,-6.161187e+01, 14,3,3,0
10,0.1,-4.976175e+04,-5.499608e+01, 14,3,3,0
10,0.2,-4.975968e+04,-5.308664e+01, 14,3,3,0
10,0.3,-4.975860e+04,-5.192908e+01, 14,3,3,0
10,0.4,-4.975774e+04,-5.109586e+01, 14,3,3,0
10,0.5,-4.975720e+04,-5.044444e+01, 14,3,3,0
10,0.6,-4.975666e+04,-4.990952e+01, 14,3,3,0
10,0.7,-4.975641e+04,-4.945569e+01, 14,3,3,0
10,0.8,-4.975618e+04,-4.906156e+01, 14,3,3,0
10,0.9,-4.975561e+04,-4.871323e+01, 14,3,3,0
10,1,-4.975575e+04,-4.840116e+01, 11,0,3,0
11,0,-7.133405e+03,-5.715181e+01, 15,3,2,0
11,0.1,-7.126789e+03,-5.053602e+01, 15,3,2,0
11,0.2,-7.124879e+03,-4.862658e+01, 15,3,2,0
11,0.3,-7.123722e+03,-4.746902e+01, 15,3,2,0
11,0.4,-7.122889e+03,-4.663580e+01, 15,3,2,0
11,0.5,-7.122935e+03,-4.598439e+01, 15,3,2,0
11,0.6,-7.121702e+03,-4.544947e+01, 15,3,2,0
11,0.7,-7.121298e+03,-4.499564e+01, 15,3,2,0
11,0.8,-7.120854e+03,-4.460151e+01, 15,3,2,0
11,0.9,-7.120555e+03,-4.425318e+01, 15,3,2,0
11,1,-7.120769e+03,-4.394111e+01, 12,0,2,0
13,0,-5.905865e+04,-4.512468e+01, 11,0,4,1
13,0.1,-5.905836e+04,-4.513301e+01, 11,0,4,1
13,0.2,-5.905923e+04,-4.516234e+01, 11,0,4,1
13,0.3,-5.905874e+04,-4.521461e+01, 11,0,4,1
13,0.4,-5.905852e+04,-4.529360e+01, 11,0,4,1
13,0.5,-5.905862e+04,-4.540602e+01, 11,0,4,1
13,0.6,-5.905878e+04,-4.556382e+01, 11,0,4,1
13,0.7,-5.905931e+04,-4.579017e+01, 11,0,4,1
13,0.8,-5.906066e+04,-4.613784e+01, 11,0,4,1
13,0.9,-5.906030e+04,-4.677634e+01, 11,0,4,1
13,1,-5.906305e+04,-4.850310e+01, 11,0,4,0
